,unique_id,lon,lat,primary_category: identified by event frequency,primary_category: identified by the number of ELP days
62812,43162,100.9505341206029,41.87079624824092,1,4
62813,43164,0.4166910729404629,46.68407473632918,7,7
62814,43165,101.64818925002922,36.531718304619794,1,1
62815,43169,101.64922884046292,36.53271511605257,1,1
62816,43179,101.65157902940706,36.53113752332544,1,1
62817,43166,101.74450042729677,36.667180241148195,1,1
62818,43168,101.5081853076468,27.634099430403698,1,1
62819,43176,101.50636560821124,27.62605370621128,1,1
62820,43180,101.51892845580669,27.63503737525339,1,1
62821,43181,101.52059224766296,27.627339068221445,1,1
62822,43185,101.52054109972366,27.634837846926168,1,1
62823,43186,101.52073449585004,27.636105248623565,1,1
62824,43188,101.51633703241647,27.633181888026748,1,1
62825,43190,101.50875451893968,27.62636111302583,1,1
62826,43192,101.52212017878037,27.635720171859084,1,1
62827,43193,101.5209211531088,27.636995491966832,1,1
62828,43201,101.51363278800673,27.62608608605088,1,1
62829,43206,101.51155607986391,27.62777112263168,1,1
62830,43207,101.5275663896483,27.634892733248172,1,1
62831,43208,101.51102582378975,27.63115360298196,1,1
62832,43211,101.5194887429282,27.62755959428615,1,1
62833,43220,101.51533999284537,27.6262983399079,1,1
62834,43170,99.2639124690084,35.00177583120432,4,4
62835,43244,99.30111165507333,34.9857231585333,4,4
62836,43173,101.78465439884097,31.34764745251407,1,4
62837,43177,101.78839260788257,31.34993841288214,1,4
62838,43175,101.47768857300876,36.63629825394195,1,4
62839,43184,101.78856496367247,36.181226806995696,1,1
62840,43204,101.88440369374126,25.596434868871533,1,1
62841,43213,39.69901662764028,38.60531386547813,1,1
62842,43232,-61.001947398337855,14.492118159816611,1,1
62843,43233,21.776904779233167,48.35688432965148,7,7
62844,43247,104.60106436406267,26.962928622639367,7,7
62845,43248,104.31325087234619,23.062561359168278,7,7
62846,43255,104.23907495210624,35.370503160606816,1,1
62847,43262,103.73023926341033,35.72244964059791,1,1
62848,43270,104.26304786721057,26.923114046415733,7,7
62849,43286,104.27042327746062,26.92077562387827,7,7
62850,43273,103.53418376197818,30.35262718570211,7,7
62851,43275,104.02430962169188,24.940046025448474,7,7
62852,43281,6.188344852278995,45.56884614141303,7,7
62853,43284,7.238108612904783,47.90422336657274,7,7
62854,43287,18.95865567089716,48.200803640233126,7,7
62855,43447,18.899614486455768,48.13501840250562,7,7
62856,44001,18.863918219473522,48.221525152577705,7,7
62857,43297,103.60505172537988,30.748251025167498,7,7
62858,43298,103.0024831017266,26.158791020928625,1,1
62859,43316,103.00193886360769,26.163379499292006,1,1
62860,43322,103.00780400691612,26.157839553975872,1,1
62861,43344,103.00046101236298,26.16493960729359,1,1
62862,43305,102.81989269677378,24.773886314347845,1,1
62863,43307,102.81598776728679,24.77592302348328,1,1
62864,43309,102.81722940801404,24.775655061474133,1,1
62865,43334,102.82228924843362,24.786655982542566,1,1
62866,43359,102.81872135357165,24.784405750154725,1,1
62867,43306,103.4236181310418,26.01955603955678,1,1
62868,43308,39.75477198501197,39.65871164195987,1,1
62869,43323,18.224520985965537,49.02863361304889,7,7
62870,43455,18.222704234800805,49.029155189060404,7,7
62871,54592,18.005794526159878,49.06897381308683,7,7
62872,43325,39.495749201545465,38.96240955420646,1,1
62873,43329,102.8663929438219,35.89102881211702,1,1
62874,43336,102.99521496569538,26.16908686937088,1,1
62875,43338,102.90378171432357,35.629828241095126,1,1
62876,43360,0.11431140796041155,44.37766957687778,7,7
62877,43386,102.46488009655098,24.00570664302979,1,1
62878,43392,102.26335547307475,36.43208494469921,1,1
62879,43414,102.25858528449773,36.44558755443855,1,1
62880,43416,102.25295773613884,36.44584357154232,1,1
62881,43427,102.26191893774165,36.43199649760988,1,1
62882,43419,102.06055113432436,34.01044888406578,1,4
62883,43448,102.06004486611047,34.00726498479537,1,4
62884,43449,102.05714177257806,34.00867394550268,1,4
62885,43452,102.05533638729649,34.009539325613886,1,4
62886,43456,102.05619220537871,34.01022033549122,1,4
62887,43458,102.05659091612978,34.007310175044864,1,4
62888,43463,102.05410936219648,34.00985131295135,1,4
62889,43464,102.05341166943595,34.01027500079445,1,4
62890,43468,102.05200755767495,34.00773223971813,1,4
62891,43428,17.24730358092316,48.06569105406309,7,7
62892,43445,2.5771573382310184,45.74030949396872,7,7
62893,43450,105.49760098866216,32.087506184682155,7,7
62894,43470,105.49987795045243,32.09030982908933,7,7
62895,43472,105.49697893175687,32.08609771516188,7,7
62896,43457,105.14940397419062,35.26543657823178,1,1
62897,43467,105.00827135995017,35.127924526861825,1,1
62898,43476,105.12861311174545,35.355590709674956,1,1
62899,43480,105.10219703863815,35.244266123262335,1,1
62900,43461,105.8925434995154,39.09239303571028,1,1
62901,43471,105.90117819517481,39.10563454129514,1,1
62902,43462,105.50311414035315,32.09745176625766,7,7
62903,43466,105.50028257407301,32.093181991426476,7,7
62904,43465,105.49980207748872,25.048390485127186,7,7
62905,43475,106.25663509584936,25.480204721158664,7,7
62906,43479,106.25407133998333,25.48057429260024,7,7
62907,43490,106.25566566892539,25.48094869275914,7,7
62908,43478,105.05948815358538,35.09238944789008,1,1
62909,43486,106.24791351149527,25.5507803417056,7,7
62910,43492,106.29409654128177,25.92009930962807,7,7
62911,43495,106.2701076747135,25.901015069319726,7,7
62912,43507,106.83455210677187,26.654067268513376,7,7
62913,43512,106.93269452597869,25.41975921327444,7,7
62914,43521,106.93216998123809,25.423805775112243,7,7
62915,43527,106.93189224800285,25.420494349429763,7,7
62916,43513,107.09032311714704,34.35889421751792,7,7
62917,43523,6.810416995465061,47.50787208325785,7,7
62918,43524,107.97565596476183,26.94147142015801,7,7
62919,60362,107.77409637064972,27.009955749887755,7,7
62920,43526,106.70480699793092,25.619849474751575,7,7
62921,43530,105.26676307802937,35.367522843640224,1,1
62922,43535,110.64140640288217,36.123056358172484,1,1
62923,43541,110.65506140756553,25.621250636135276,7,7
62924,43543,110.65725365457124,25.622390515350506,7,7
62925,43551,110.93607157496545,37.499574344363374,1,1
62926,43616,110.99170987128726,37.549627022291844,1,1
62927,43669,110.89986864890228,37.49246444857233,1,1
62928,43856,110.84461865067301,37.62436962634929,1,1
62929,43921,110.82802456916993,37.59262916331014,1,1
62930,44002,110.97205902320898,37.60190634341664,1,1
62931,43554,110.281524349551,36.84848207689559,1,1
62932,43559,110.28483057189854,36.846500206599025,1,1
62933,43599,110.2812661960524,36.84608996873042,1,1
62934,43622,110.28574144495754,36.847441581525636,1,1
62935,60553,110.25226150335301,36.76722174481002,1,1
62936,43565,36.212058203673486,36.31155139251307,1,1
62937,43566,110.22140781605586,37.77108260961339,1,1
62938,43568,110.49571713461884,34.95038878955549,7,7
62939,60890,110.25846688715266,35.04842872461285,7,7
62940,43569,110.11093497158915,28.565831335212582,7,7
62941,60038,110.11067918227621,28.505390457017064,7,7
62942,43572,110.9224007765699,36.976869047714594,1,1
62943,43576,110.92203472098817,36.975088177503935,1,1
62944,43806,110.84890393172834,37.10149532827135,1,1
62945,43865,110.84051977504818,37.01839054071494,1,1
62946,44176,110.75152563089705,36.98048517334826,1,1
62947,43577,110.53953814167951,30.80400776327282,7,7
62948,43650,110.63724173731337,30.62815911332446,7,7
62949,44155,110.71746810547745,30.860034883964378,7,7
62950,44244,110.71572095027769,30.8606687657811,7,7
62951,43579,110.40523188753806,34.53880307109136,7,7
62952,43582,110.11545375173881,25.375232422998653,7,7
62953,43585,110.55751962384987,30.951419864556527,7,7
62954,44096,110.74111508516582,30.98488804096911,7,7
62955,43592,109.935324088303,37.59186435099733,1,1
62956,43740,109.85413768876198,37.44448290693063,1,1
62957,43594,110.9957607515169,34.51068282288201,7,7
62958,43595,110.55889976829033,24.17830747993298,7,7
62959,43704,110.5563503958314,24.180952489762213,7,7
62960,43601,110.94454448896205,32.55558662236997,7,7
62961,43605,110.27701366883208,31.28249178432376,7,7
62962,43609,109.99501483817698,34.59308241606933,7,7
62963,43610,110.33115226531653,20.347221265523594,1,1
62964,43626,110.90922330496214,36.73730459623425,1,1
62965,43671,110.90760794209618,36.80367512225303,1,1
62966,43729,110.88768312198857,36.647453322540116,1,1
62967,43802,110.82246916804843,36.8148278421073,1,1
62968,43804,110.98562045438264,36.66171255208336,1,1
62969,43812,110.85141706305728,36.725159105015194,1,1
62970,43858,110.84726987168385,36.68874950176001,1,1
62971,43900,110.80912749266437,36.724043483605115,1,1
62972,43935,110.80932931273645,36.64877160184418,1,1
62973,43943,110.83843646954105,36.642760266101384,1,1
62974,43966,110.76850844472871,36.77429591712912,1,1
62975,43978,110.76073474237143,36.655338205804874,1,1
62976,44025,110.77222020859688,36.68061524477399,1,1
62977,44182,110.9972700216975,36.68061809423216,1,1
62978,43629,110.170394781836,38.31249369529014,1,1
62979,43630,110.95538104938643,30.777096127985132,7,7
62980,43633,110.19386345986933,36.84383317965314,1,1
62981,43637,110.19886705370565,32.392823492317994,7,7
62982,43639,110.23619190565812,32.00881066273691,7,7
62983,43657,110.21412962259626,32.108650828038314,7,7
62984,43668,110.23278719288099,31.99907783272942,7,7
62985,43641,110.35176464812932,25.22201569487692,7,7
62986,43642,110.03939565697966,33.83946328092479,7,7
62987,43647,109.92265137547608,38.00586976277606,1,1
62988,43659,110.01177560043823,37.378253573669724,1,1
62989,43662,110.93768831508055,32.04435751019129,7,7
62990,43899,110.84960026726807,31.886233362575183,7,7
62991,43934,110.84919040610018,31.88731031432752,7,7
62992,43961,110.75182671521178,32.100129310617916,7,7
62993,43980,110.75145910509104,32.10127139474402,7,7
62994,44084,110.97297251163695,32.10724980145381,7,7
62995,44228,110.97891303113732,32.02667163698696,7,7
62996,43664,1.3955267739384336,45.35441514000317,7,7
62997,43665,109.95503652676318,37.818841937336494,1,1
62998,43666,107.0201072096655,41.05952786196441,1,4
62999,43667,17.888262308564,48.78577568483328,7,7
63000,43682,110.26347213133738,19.938183968839617,1,1
63001,43685,110.26452161939818,19.93679837052408,1,1
63002,43691,110.26482678551122,19.93746491116391,1,1
63003,43686,110.2645769107317,30.283635687327514,7,7
63004,43688,110.99316078427452,40.623100058616814,1,1
63005,64090,110.99252381472324,40.61957029440643,1,1
63006,43689,-0.7484528745695312,46.06947649743265,7,7
63007,43703,-2.3245740091137046,48.050451429764195,7,7
63008,43708,110.88881744063573,37.90892722263221,1,1
63009,43709,110.88985374943343,37.907724354806646,1,1
63010,43715,110.88761242663635,37.907300848627514,1,1
63011,43712,109.91480764938093,34.7271697738119,7,7
63012,43722,109.91273510800967,34.7310519624024,7,7
63013,43726,109.9167518752876,34.731383716168416,7,7
63014,43716,109.88086242531845,36.6131351786697,1,1
63015,43717,19.187538852126337,49.19529062536214,7,7
63016,43730,15.571605824073133,58.391941192408424,7,7
63017,43731,109.93553579399412,27.407426516155994,7,7
63018,43739,110.01836322617386,23.300190891306556,7,7
63019,43745,110.07341138514757,20.277321579977514,1,1
63020,43746,109.95026535228685,20.29193759320278,1,1
63021,43748,109.94938971474016,20.29068556737788,1,1
63022,43750,109.9482374084412,20.28992261030503,1,1
63023,43755,109.94726672201875,20.29374010307738,1,1
63024,43756,109.95767476251696,20.29075852889038,1,1
63025,43758,109.94637696706998,20.29307161632912,1,1
63026,43759,109.95281924773042,20.294605064182427,1,1
63027,43760,109.94579907467674,20.29149021501607,1,1
63028,43762,109.95122548358377,20.291057184163034,1,1
63029,43766,109.9502982230352,20.295519017394096,1,1
63030,43769,109.95167611805303,20.29255869758624,1,1
63031,43784,109.94782113970591,20.29174786900505,1,1
63032,43789,109.94335915255965,20.292478627954395,1,1
63033,43797,109.95853099746977,20.29011160713873,1,1
63034,43753,109.76123187633921,35.433721877195744,1,1
63035,60694,109.76769445333328,35.433689984864195,1,1
63036,43767,110.87303451464983,38.24334971004151,1,1
63037,43772,110.870750029227,38.24408851565658,1,1
63038,43780,110.87158878724335,38.24164322480879,1,1
63039,43782,110.8713948966381,38.24531074826786,1,1
63040,43783,110.86932741156109,38.24498291217919,1,1
63041,43781,109.845928541737,27.87130185549532,7,7
63042,43794,109.65078930972062,37.5569776716009,1,1
63043,43796,109.41301170191396,37.53391336048566,1,1
63044,43799,109.17613739527471,35.90982897112926,1,1
63045,43817,109.17012767085504,35.908381107801496,1,1
63046,43822,109.16718045034845,35.9035298344575,1,1
63047,43823,109.17491685645037,35.90310608467505,1,1
63048,43827,109.16328246961889,35.90741558882614,1,1
63049,43830,109.16266637989646,35.92605375244004,1,1
63050,43832,109.16382660293787,35.91511057584852,1,1
63051,43833,109.16699723779145,35.901286679372625,1,1
63052,43837,109.15003552812176,35.93891945894275,1,1
63053,43840,109.1738785964335,35.91355606990357,1,1
63054,43841,109.16937167517743,35.9032235520593,1,1
63055,43842,109.16828224202625,35.90392237295294,1,1
63056,43851,109.16325386971523,35.914578161223616,1,1
63057,43854,109.16902731920358,35.90557787539475,1,1
63058,43863,109.17432895141843,35.909188365154755,1,1
63059,43869,109.17174175978734,35.907568808810325,1,1
63060,43890,109.16825597086863,35.90239819368119,1,1
63061,60576,109.16094037393363,35.901688823312526,1,1
63062,60705,109.16738031764066,35.909952082178165,1,1
63063,43805,110.80563716499903,39.04267922665551,1,1
63064,43825,110.80657589342327,39.045195557424094,1,1
63065,43838,110.80896483075782,39.04549103921709,1,1
63066,43847,110.80345240187494,39.04945904952867,1,1
63067,43866,110.80495861882513,39.03915593565533,1,1
63068,43874,110.80206646445431,39.050577923970295,1,1
63069,43876,110.81087696185273,39.044930801226315,1,1
63070,43880,110.8088099250793,39.05055754736187,1,1
63071,43914,110.80888303988608,39.042308629872885,1,1
63072,43956,110.8092898588784,39.04348219624748,1,1
63073,43975,110.81258597578591,39.044264941563725,1,1
63074,43986,110.80525154000682,39.04526100689806,1,1
63075,44069,110.80809130968225,39.048054600502766,1,1
63076,43811,110.80541518433238,35.29378975275627,7,7
63077,43884,110.80301474452558,35.289302015602715,7,7
63078,43891,110.8010365204885,35.28928431908493,7,7
63079,43903,110.80168579496218,35.29070368334167,7,7
63080,43962,110.80122502103421,35.29376353473243,7,7
63081,44059,110.80086050324104,35.29130988907225,7,7
63082,43816,110.81143874941556,32.229626877510974,7,7
63083,43877,110.84485823201949,32.30527482272398,7,7
63084,44074,110.99695613669468,32.163797163440265,7,7
63085,44194,110.7824985798826,32.1441244221918,7,7
63086,44296,110.75203418311783,32.13285941422998,7,7
63087,64287,110.77576334975608,32.12775180369338,7,7
63088,43821,109.2263601865075,34.220465014973904,7,7
63089,43829,109.05930700711448,30.973828566559057,7,7
63090,43835,-61.16613339754294,14.691010765008384,1,1
63091,44220,-61.14697558124194,14.752942819220838,1,1
63092,43836,109.54286055110236,34.06398931308119,7,7
63093,43850,109.74067453142796,34.051428023268635,7,7
63094,44078,109.57444440073493,34.01030732970778,7,7
63095,44086,109.67468915563143,34.058484087502,7,7
63096,43845,109.35619158879047,38.00660612134796,1,1
63097,43849,0.5322018644085984,48.04447862356671,7,7
63098,43860,108.93935604253967,37.12336881817131,1,1
63099,43901,108.93960761630666,37.11304451023231,1,1
63100,43919,108.93877851213203,37.120176507859114,1,1
63101,43932,108.93757355440674,37.118348021017155,1,1
63102,44015,108.93807361291158,37.11633722881278,1,1
63103,43868,109.5968358271284,38.899047799768766,1,1
63104,43875,109.50630586588724,34.32325961536827,7,7
63105,43878,109.46551189122177,34.85393808831893,7,7
63106,44091,109.46531140270362,34.8550219069028,7,7
63107,43888,109.43653348238838,35.038153318571936,7,1
63108,64459,109.43076246800568,34.96237613924018,7,7
63109,43889,109.46553209244671,34.21523241210997,7,7
63110,44031,109.48285614882678,34.225955879391634,7,7
63111,43904,109.34041416769296,36.762558120415775,1,1
63112,43910,109.39182632058174,36.73348378654584,1,1
63113,43912,109.33848959038119,36.76144979894122,1,1
63114,43917,109.33562073153338,36.76179024608842,1,1
63115,43964,109.33619873214286,36.76267799082353,1,1
63116,43906,9.481007335772759,42.17878826114955,1,1
63117,44164,9.48347609498435,42.17756069659449,1,1
63118,43923,109.55083430752275,34.383846832789786,7,7
63119,43925,110.85127549710104,19.888103761408445,1,1
63120,43928,109.6750565321014,37.629463884504055,1,1
63121,43952,2.075674073498232,48.78570083832768,7,7
63122,43955,111.00366554012861,38.761105307035635,1,1
63123,44065,111.04682273507406,38.87482525687297,1,1
63124,44203,111.05038618162158,38.6777383913426,1,1
63125,44275,111.00911217862009,38.68482722820933,1,1
63126,44363,111.08376681401737,38.75263432164477,1,1
63127,44587,111.13583626762495,38.763839491817336,1,1
63128,44637,111.14272185607977,38.872148266833705,1,1
63129,44750,111.18541452389931,38.873180676411835,1,1
63130,44770,111.00174156524486,38.80780432909069,1,1
63131,45523,111.03150768881187,38.833830956421494,1,1
63132,43959,109.02044805549123,40.87807489479871,1,1
63133,44062,109.00752040003086,40.88752203717665,1,1
63134,43973,111.35312443873065,33.225095620462554,7,7
63135,44231,111.38190645816168,33.25816803908489,7,7
63136,45569,111.30396719587736,33.24008737183183,7,7
63137,43979,108.08992945396054,37.5544386677249,1,1
63138,43983,2.897651777603709,49.242895352319174,7,7
63139,43991,110.71279201478596,36.494544257087476,1,1
63140,43995,111.43959282712797,33.81907918543309,7,7
63141,44014,5.184092984221849,52.38396042274061,7,7
63142,67205,5.004993649134601,52.52358943357855,7,7
63143,44016,111.04034358874713,37.230093721135724,1,1
63144,44348,111.0856527104238,37.24325459254814,1,1
63145,44527,111.13559547697993,37.25943309522419,1,1
63146,44614,111.01309501387102,37.32080681185672,1,1
63147,44927,111.02082508724308,37.31868326792067,1,1
63148,45212,111.0285881999304,37.29886131951319,1,1
63149,44019,108.29606779286274,23.07036413394535,7,7
63150,59878,108.32323776332326,22.900042566335763,7,7
63151,44021,111.41188094594528,30.54055457021757,7,7
63152,44039,111.43505938920272,30.518265347932928,7,7
63153,44044,111.43571538284809,30.51661853217985,7,7
63154,44094,111.4280985691171,30.44008281163966,7,7
63155,44097,111.42843041601883,30.444613313472782,7,7
63156,44163,111.42965475592796,30.439105161367202,7,7
63157,59921,111.26976072286216,30.481464436719946,7,7
63158,59930,111.40295324172659,30.506519808428983,7,7
63159,44023,111.42831467502795,37.113174037961876,1,1
63160,44026,111.3699190648489,33.09154391402104,7,7
63161,44104,111.35536673979111,33.03027282651442,7,7
63162,44124,111.32177056556117,33.04833732396331,7,7
63163,44127,111.4083552312008,33.02202327576759,7,7
63164,45405,111.27477125371077,33.069804781872314,7,7
63165,45416,111.2726457689369,33.068341170297266,7,7
63166,44040,6.641324653850907,43.789481313101966,1,1
63167,45961,6.645341646619348,43.789193462106134,1,1
63168,44042,110.97765936293264,19.682864810942768,1,1
63169,44050,111.49578654906274,32.44618040328242,7,7
63170,44055,109.56521847536818,39.35179174964053,1,1
63171,44058,109.43632420661065,35.498350773899766,1,1
63172,60555,109.4157301990044,35.45669677892161,1,1
63173,44060,109.11069482850907,19.405523339942118,1,1
63174,44122,109.1140307738837,19.403611120895025,1,1
63175,44246,109.11241661104943,19.403275530350125,1,1
63176,44326,109.11041794210955,19.403813603720216,1,1
63177,44075,1.549368578966668,45.00690739711073,7,7
63178,44087,108.64202509465716,19.022101021815175,1,1
63179,44090,110.81397384854438,21.580960592903125,1,7
63180,44121,113.95270257172334,22.987609184164857,7,7
63181,44170,113.96206389524423,22.959195126820653,7,7
63182,45490,113.81960715089413,23.111123965504678,7,7
63183,45491,113.81843786059733,23.110971093551523,7,7
63184,45518,113.81794401642419,23.11235119155347,7,7
63185,45519,113.7528489806839,23.08512449408981,7,7
63186,45568,113.75119328435719,23.08443311040422,7,7
63187,45571,113.82109826063888,23.113415985729777,7,7
63188,45590,113.91550449314582,22.922109304171503,7,7
63189,59959,113.89806559288961,22.960582285889608,7,7
63190,59988,113.90256942078234,22.965894304646095,7,7
63191,68025,113.91459685510688,22.92273388426291,7,7
63192,44123,111.35667633365324,40.37187096294526,1,1
63193,44165,5.70599186100188,45.198451424621425,7,7
63194,44175,110.72999823138015,37.08580360700825,1,1
63195,44180,111.61989580673601,32.6483312274064,7,7
63196,44247,111.65184159154377,32.84243589359119,7,7
63197,44305,111.64839193525596,32.84332589310559,7,7
63198,44345,111.72269250873595,32.782134675324514,7,7
63199,44359,111.70898356991842,32.84957748451495,7,7
63200,44384,111.67556821034101,32.863332689520604,7,7
63201,44413,111.71678137104828,32.70052655385687,7,7
63202,44554,111.73081655051934,32.734220516645614,7,7
63203,44206,111.05646299192591,37.98650612170637,1,1
63204,44222,111.0580732405937,37.983184374853565,1,1
63205,44210,111.53925430196902,26.98968160138126,7,7
63206,44219,110.69835397556851,37.78590223508628,1,1
63207,44226,111.06324615938036,34.71287406619262,7,7
63208,44795,111.17158926751986,34.82819259893465,7,7
63209,44826,111.18598567971175,34.69946060937605,7,7
63210,44254,111.66566672848562,35.25174803427021,1,1
63211,44317,111.72326725270086,35.286826678364164,1,1
